"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Wojcik-Czerniawska A.","Wojcik-Czerniawska, Agnieszka (57936855200)","57936855200","Exploring Human Resource Innovations in E-Economy","2026","Exploring Human Resource Innovations in E-Economy","","","","1","497","0","","https://www.scopus.com/pages/publications/105038172749?origin=resultslist","In the e-economy, organizations change human resource (HR) practices to keep pace with digital transformation and shifting workforce dynamics. As businesses operate in technology-driven environments, innovative HR strategies, like digital talent acquisition, remote workforce management, AI-assisted recruitment, and data-driven performance analytics, have become essential for maintaining competitiveness. These innovations reshape how organizations attract, develop, and retain talent while redefining the employee experience in a virtual, globally connected marketplace. Exploring human resource innovations in the e-economy provides valuable insights into how technology empowers HR to become a driver of organizational growth, adaptability, and long-term business success. Exploring Human Resource Innovations in E-Economy explores the transformative role of innovation in shaping the dynamics of the contemporary global economy. It examines how technological advancements, digital transformation, and new business models alter production processes, labor markets, international trade, and economic growth patterns across developed and emerging economies. This book covers topics such as data science, global business, remote workforce, and is a useful resource for business owners, economists, managers, academicians, researchers, and scientists. Copyright © 2026 by IGI Global Scientific Publishing. All rights reserved.","","Competition; Employment; Information management; Personnel; Business success; Data driven; Digital transformation; Global economies; Human resource practices; Human resource strategy; Organisational; Organization changes; Performance; Workforce management; International trade","Book","Final","","Scopus","2-s2.0-105038172749"
"Nakash M.; Peretz O.","Nakash, Maayan (57220960624); Peretz, Or (57800240100)","57220960624; 57800240100","Decoding the AI job market: mapping skills and classifying careers through online job ads","2025","Employee Relations","","","","1","18","2","10.1108/ER-07-2025-0566","https://www.scopus.com/pages/publications/105025465060?origin=resultslist","Purpose – The rapid advancement of artificial intelligence (AI) is profoundly reshaping the labor market, intensifying competition for specialized talent. This study investigates the evolving structure of AI-related employment by identifying key occupational categories and skill sets, with a particular focus on the strategic role of social media platforms in talent acquisition and workforce intelligence. Design/methodology/approach – Drawing on 18, 947 unique AI-related job postings collected from LinkedIn during the first three quarters of 2024, the study leverages the platform's dual function as a professional social network and recruitment tool. Using data science techniques, it classifies AI job roles and maps their associated skill requirements, offering a real-time, data-driven perspective on employer demand. Findings – The analysis reveals that roles in data and analytics dominate the AI job landscape, followed by strong demand in business and operations. Notably, AI-related positions are expanding into non-technical domains such as education, customer service and the creative industries. Frequently required skills include communication, Python and machine learning. Cosine similarity analysis uncovers distinct clusters of competencies, underscoring the growing importance of hybrid profiles that integrate technical expertise with socio-emotional capabilities. The findings also highlight how employers strategically use LinkedIn to signal evolving talent needs, shape employer branding and engage with potential candidates in a competitive digital labor market. Originality/value – By harnessing LinkedIn job advertisements as a lens into the social media-enabled labor market, this study contributes to emerging scholarship on digital talent acquisition and workforce transformation. It offers actionable insights for job seekers, educators and policymakers navigating the AI-driven employment landscape. © 2025 Emerald Publishing Limited","Artificial intelligence; Digital labor market; LinkedIn; Online job ads; Skill set; Social media; Workforce analytics","","Article","Article in press","","Scopus","2-s2.0-105025465060"
"Fernando P.R.R.","Fernando, Pattinige Ravindra R (57222526052)","57222526052","Improving the quality of education system using data science technologies: Survey","2020","CITISIA 2020 - IEEE Conference on Innovative Technologies in Intelligent Systems and Industrial Applications, Proceedings","","","9371793","","","2","10.1109/CITISIA50690.2020.9371793","https://www.scopus.com/pages/publications/85103050305?origin=resultslist","Education is the most important and silent weapon in a country for both individual and country's economy. However lower level of adoption in the education system, poor decision making with less accuracy levels, adoption to new curriculums or subjects, teaching and learning styles are the main issues in education systems. These factors also have further long-term consequences for a country such as unemployment rates rises high, lack of suitable workforce for the demanding fields, individual dissatisfaction while being unemployed as well as in the community and socially. Unemployment rates are risen in Australia from past few years and this as a factor will be an ongoing issue if the government does not take any further actions to overcome these issues will definitely be direct hit to their economy in relation to work force in the present and future. Therefore the right technology should be implemented in order to obtain extract insights, obtain accurate decisions and high level adoption in education sector, as an example technologies such as data warehousing, big data, data mining, business intelligence and data analytics are in the peak of other industries such as aviation, retail, banking and other financial institutions. The main objective of this project is to facilitate a guide or a review for having data science technologies implemented in education sector in order to accomplish better education, as well as emphasis potential advantages of data technologies if it has been implemented in and around education systems. © 2020 IEEE.","Big data in education; Business intelligence; Data mining in education; Data Science; Data warehouse potentiality in education sector; Data warehousing in education","Data Analytics; Data Science; Data warehouses; Decision making; Educational technology; Employment; Engineering education; Intelligent systems; Population statistics; Data technologies; Education sectors; Education systems; Financial institution; Quality of education; Science technologies; Teaching and learning; Unemployment rates; Data mining","Conference paper","Final","","Scopus","2-s2.0-85103050305"
"Shailaja M.; Lanka L.; Soma K.; Kumar E.S.; Prashanthi B.","Shailaja, M. (58654425300); Lanka, Lavanya (57877232700); Soma, Krushima (58236903600); Kumar, E. Shravan (58716906800); Prashanthi, B. (57217959752)","58654425300; 57877232700; 58236903600; 58716906800; 57217959752","Developing a SVM Model of Big Data Analytics for Healthcare Recommendation System","2023","Smart Innovation, Systems and Technologies","363","","","159","167","0","10.1007/978-981-99-4717-1_15","https://www.scopus.com/pages/publications/85174444500?origin=resultslist","Today, the data world that rules us made its mark not only in computer science but also in other academic sectors like medicine, finance, news, and marketing, among others. In today’s world, the healthcare business is an important industry, where large volumes of data are constantly collected. Such data have the features of big data and involve analyzing it and uncovering latent relationships between variables in healthcare data. The concept of big data, which has transformed the world of traditional data into a world of digital data, was developed as a result of the quick and large data generation by numerous applications. Big data analytics is an advanced method for analyzing enormous, heterogeneous datasets, including structured, unstructured, and semi-structured data of various sizes obtained from various sources, in order to find patterns, connections, and other insights that were not originally recognized. Healthcare is one of its many applications, in addition to banking, communication, social media, education, social services, commerce, and shipping. It offers medical services like telemedicine, electronic health records (EHRs), and other types of treatment to evaluate patients and increase staff employment. In this analysis, the suggested strategy for creating an SVM model of big data analytics for healthcare recommendation system is described. The performance of the suggested algorithms is calculated on different aspects such as accuracy, precision, and F1-score. Hence, in this analysis, the presented SVM model of big data analytics will yield the best results. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Big data analytics; Electronic health records; Healthcare; Healthcare recommender system; SVM (support vector machine)","Big data; Commerce; Data Analytics; Patient treatment; Records management; Support vector machines; Big data analytic; Data analytics; Electronic health; Electronic health record; Health records; Healthcare; Healthcare recommende system; Support vector machine; Support vector machine models; Support vectors machine; Recommender systems","Conference paper","Final","","Scopus","2-s2.0-85174444500"
"Baig M.A.; Alzahrani S.J.","Baig, Mansoor Ali (57201642589); Alzahrani, Somayah J. (57209736606)","57201642589; 57209736606","Revisiting the Skills of a Healthcare Data Scientist as a Field Expert","2019","Studies in Health Technology and Informatics","262","","","43","46","5","10.3233/SHTI190012","https://www.scopus.com/pages/publications/85068550523?origin=resultslist","The buzz words 'Data Science' and 'Data Scientist' are trending high in this age of information. The boundaries are still undefined, the exact skill sets are unclear, and the job description is still murky. This is an attempt to identify some mandatory or desired skills based on what data science demands from a data scientist. A very generic job description for a data scientist is 'A person who can perform advanced analytics on the institutional data', this gives a very unclear picture to the decision maker to identify the right resources within their data science activity. Practically the data scientist should be the one who can understand and moreover be involved with the data life cycle starting from inception > collection > operation > extraction > observation > preparation > description > prediction > prescription > Archival. Each of these aspects of data has a science behind it. An old team 'Jack of all trades' briefly defines this job description. A good data scientist essentially needs to be a good programmer, a good business/system/data analyst, a good statistician, one who can seamlessly visualize data, and is empowered with a vision to use and apply the necessary tools, techniques and methodologies in a scientific and applicable realistic way. Healthcare/Research environment is a complicated vertical when it comes to data, hence having domain knowledge is almost critical, complying with aspects of data governance such as patient privacy, consent, ethics etc. © 2019 The authors and IOS Press. All rights reserved.","Advanced Analytics; Data Management; Data Science; Data science skills; Data Scientist; Job description; Machine Learning","Comprehension; Data Science; Decision Making; Delivery of Health Care; Humans; Job Description; Data Science; Decision making; Employment; Health care; Information management; Job analysis; Learning systems; Life cycle; Medical informatics; Data governances; Data life cycle; Data Scientist; Decision makers; Domain knowledge; Job description; Patient privacies; Science activities; adult; conference paper; data science; ethics; extraction; human; life cycle; machine learning; prediction; prescription; privacy; skill; statistician; vision; work; comprehension; decision making; health care delivery; Advanced Analytics","Conference paper","Final","","Scopus","2-s2.0-85068550523"
"Poquet O.; Lim L.-A.; De Laat M.","Poquet, Oleksandra (57190012456); Lim, Lisa-Angelique (57201721312); De Laat, Maarten (8218596300)","57190012456; 57201721312; 8218596300","Learning Analytics in the Corporate Sector: What Business Leaders Say?","2022","IEEE Transactions on Learning Technologies","15","5","","605","619","1","10.1109/TLT.2022.3164783","https://www.scopus.com/pages/publications/85127732211?origin=resultslist","The widespread adoption of digital tools for learning enables extensive data collection about employee learning activities. This article analyzes how corporations use data to inform and support their learning needs. This article presents a qualitative analysis of what managers and executives overseeing learning and development initiatives in their respective organization's value in learning analytics (LA) at the workplace. The interviews were analyzed through a framework that combined lenses of value-sensitive design and value creation to uncover the values underpinning current applications of LA in the corporate sector. We found that corporations vary in their strategic LA orientations when it comes to organizational learning and development. However, although aspirational narratives of executives are diverse, their activities are not. The implications of the rich qualitative findings suggest that learning sciences can support organizational learning by creating diagnostic tools to identify organizational orientations for LA. Computer scientists can also support decision-making and research on corporate LA by creating tools that can help map organizational aspirations and activities in relation to the various data sources, stemming from different organizational units. We conclude by outlining these recommendations.  © 2022 IEEE.","Corporate learning analytics (LA); E-learning tools; learning analytics; social technologies; workplace learning","Digital devices; E-learning; Employment; Knowledge management; Personnel training; Corporate learning analytic; Corporates; Decisions makings; E-learning tool; Electronic learning; Learning analytic; Market researches; Social technologies; Soft sensors; Workplace learning; Decision making","Article","Final","","Scopus","2-s2.0-85127732211"
"Hadil A.; Fatema K.; Chakib K.; Hussein M.; Samat R.","Hadil, A. (59516044600); Fatema, K. (59514903100); Chakib, K. (59515482000); Hussein, M. (59514903200); Samat, R. (55698281800)","59516044600; 59514903100; 59515482000; 59514903200; 55698281800","ADNOC & SLB-Energy Futures Initiative.Pioneering Innovation in Future Talent Development","2024","Society of Petroleum Engineers - ADIPEC 2024","","","","","","1","10.2118/222864-MS","https://www.scopus.com/pages/publications/85215095287?origin=resultslist","The ADNOC Energy Futures Initiative, co-developed with SLB, aims to revolutionize talent development in the energy industry.Addressing the challenge of equipping a diverse workforce with digital & AI skills, the initiative seeks to foster talent development, technological advancement, sustainability, collaboration through innovative methods.This program diverges from traditional methods by integrating AI, digital marketplaces, collaborative partnerships, gamified learning, and open innovation.This approach represents an experimentation mindset, where iterative innovation and disruptive strategies are employed to engage and develop talent, creating a competitive edge in the market.Key strategies include: 1.AI Talent Analytics & Personalized Development: We leverage AI and advanced analytics to offer personalized development plans and learning pathways for ADNOC fresh joiners and existing employees.By providing targeted training and growth opportunities using relevant and modern technology, we enhance skills, foster career progression, and boost talent development in line with ADNOC's strategic objectives.2.Digital Talent Marketplace: The digital talent marketplace connects young talents with challenging projects across ADNOC's diverse business units, or projects we execute together with our technology partners such as SLB.This platform facilitates cross-functional collaboration, enables talent mobility, and promotes agile skills development to address the dynamic needs of the energy industry.3.Collaboration with Industry: Building strategic collaborations with leading technology companies, educational institutions, research organizations, and industry pioneers allows us to create a collaborative innovation ecosystem.This exposes young talents within ADNOC to the latest advancements in clean energy and transition technologies, promoting knowledge transfer and industry-leading best practices.4.Gamification & Virtual Reality: Incorporating elements of gaming and VR technologies into training, we've transformed the learning experience.These immersive and interactive methods make complex concepts more accessible, promoting digital and data science, enhancing problem-solving skills and creativity, especially for fresh graduates.5.Open Innovation Programs: Our collaboration with technology partners enables us to crowdsource ideas and drive innovation.This approach harnesses diverse talent pools, leading to groundbreaking solutions for challenges in energy transition and promoting a culture of entrepreneurial thinking within ADNOC.The initiative has led to notable outcomes: • Skill Development: 90% of participants among fresh joiners showed enhanced digital skills, accelerating career progression.• Innovation Impact: The initiative's collaboration with SLB yielded over 32 innovative solutions, potentially unlocking a tremendous value for ADNOC over three decades.• Diversity & Engagement: Increased the proportion of women in key digital roles by 30%, enhancing overall job satisfaction.• Awards: Received the prestigious ADIPEC 2023 Award, affirming its impact in workforce development.This initiative demonstrates the power of collaborative and innovative approaches in workforce development.It highlights the importance of talents in driving industry success and positions ADNOC as a leader in sustainable energy sector transformation.Its achievements in energy efficiency, emissions reduction, and community engagement, alongside significant financial and operational impacts, make it a model for other organizations. Copyright 2024, Society of Petroleum Engineers.","","Benchmarking; Coal deposits; Collaborative learning; Commerce; Competition; Costs; Crowdsourcing; Decision support systems; Earnings; Employment; Empowerment of personnel; Gamification; Gas oils; Gasoline; Investments; Liquefied petroleum gas; Losses; Mineral oils; Oil shale; Oil shale refining; Petroleum tar; Pipelines; Power management (telecommunication); Resource valuation; Strategic planning; Voltage scaling; Career progression; Energy; Energy future; Energy industry; Open innovation; Pioneering innovations; Skills development; Talent development; Technology partners; Workforce development; Personnel training","Conference paper","Final","","Scopus","2-s2.0-85215095287"
"Othman S.Z.; Noor W.S.W.M.; Isa M.F.M.","Othman, Siti Zubaidah (57209751757); Noor, Wan Shakizah Wan Mohd (57195349399); Isa, Mohd Faizal Mohd (57211880275)","57209751757; 57195349399; 57211880275","How to Create a Competitive Organization, Leveraging Strategic Capabilities in Malaysia","2021","Modeling Economic Growth in Contemporary Malaysia","","","","135","150","2","10.1108/978-1-80043-806-420211012","https://www.scopus.com/pages/publications/85121727058?origin=resultslist","Though to stay competitive is important for an organization’s survival, today’s organizations need to deal with various challenges. For example, organizations need to deal with the future uncertainty; need to know when to embrace change; need to recruit the right talent; need to keep abreast with the rapidly changing technology; need to remain ethical in doing business; and need to deal with increasing competition in the market. Thus, good strategies are needed if they want to stay competitive. Organizations must be able to know the competition and be different; update the organization’s image; look after the existing customers; target new markets; be the best employers; be able to foresee the future; exemplify and position strengths from weaknesses; take into consideration the local context; use data and analytics to support strategies; prioritize creativity and innovation; utilize the data; remain relevant; and explore partnership opportunities. As for Malaysia, various strategies have been developed to support organization sustainability. These include transforming the school system in order to produce high-skilled and semi-skilled workers; strengthen Technical Vocational Education and Training (TVET) and Science, Technology, Engineering, and Mathematics (STEM) education activities; digitalizeMalaysian employment landscape; and create good networking and collaboration with other countries. Malaysia also introduces various initiatives to support business sustainability such as awarding Sustainable Business Awards Malaysia to any Malaysian company that has shown a balance between making profit and acting sustainably; come out with competitive fiscal and monetary policy; and strengthen the human capital development. © 2021 by Emerald Publishing Limited.","business sustainability; Competitive organization; fiscal and monetary policy; global market; Malaysian business initiative; organization competitive challenges; strategic capabilities","","Book chapter","Final","","Scopus","2-s2.0-85121727058"
"Rawlings-Goss R.","Rawlings-Goss, Renata (56016701700)","56016701700","Introduction","2019","SpringerBriefs in Computer Science","","","","1","3","1","10.1007/978-3-030-22407-3_1","https://www.scopus.com/pages/publications/85070552336?origin=resultslist","Data Science and analytics is not only improving businesses and sparking new industries, it is also improving the human condition under which every person needs food, shelter, clean water, health care, security, and education [1]. This need for transformation in global society shows that the relevance of Data Science is not only its unparalleled ubiquity and enormous scope, but its potential to improve lives and decision-making across a wide variety of areas. Organizations of all sizes and types are increasingly reliant on data as critical to their core operations. For some quick numbers, the Big Data Analytics market—just one slice of the larger Data Science and analytics market—will grow to over $187 billion within the decade [2]. The previously out of bounds worlds of politics, human rights, environmental advocacy, energy, education, healthcare, humanities, arts, and social good are now accessible and welcoming to big data and data scientists. In the midst of all this, there is a huge opportunity for career development. Adding analytics skills now can be a boost in almost any field and create a niche or opportunity for employment. This opportunity is made even greater as statistics reveal a global talent gap in the workforce [3]. For this reason, data degree programs are rapidly emerging across the globe and companies are looking to hire talented people that have a grasp on these new opportunities transforming our world! © 2019, The Author(s), under exclusive license to Springer Nature Switzerland AG.","","Advanced Analytics; Behavioral research; Big data; Commerce; Data Analytics; Decision making; Employment; Health care; Career development; Clean waters; Degree program; Global society; Human conditions; Human rights; New industry; Metadata","Book chapter","Final","","Scopus","2-s2.0-85070552336"
"Karthiga M.; Sankarananth S.; Sountharrajan S.; Sathis Kumar B.; Nandhini S.S.","Karthiga, M. (58753938000); Sankarananth, S. (55787535900); Sountharrajan, S. (57192169178); Sathis Kumar, B. (58278686300); Nandhini, S.S. (57218506477)","58753938000; 55787535900; 57192169178; 58278686300; 57218506477","Challenges and opportunities of big data integration in patient-centric healthcare analytics using mobile networks","2021","Demystifying Big Data, Machine Learning, and Deep Learning for Healthcare Analytics","","","","85","108","2","10.1016/B978-0-12-821633-0.00005-2","https://www.scopus.com/pages/publications/85123670391?origin=resultslist","The advancement of the digital world and the growth in cloud computation have led to enormous amounts of data from various sensors and digital devices along with communication models. The data gathered together are growing exponentially day by day. The structure of data is also dynamic and complicated. These data have to be processed and analyzed in a more efficient manner with the exploitation of “big data.” This chapter discusses the necessities of big data in the areas of healthcare and life sciences. Big data analytics have shown effectiveness in handling huge volumes of data and enhancing the outcomes at a cheaper cost. Healthcare systems produce enormous amounts of both structured and unstructured data. That data can be managed and analyzed disparately using the available tools of big data. Disease outbreaks and care delivery are the two major emerging fields of healthcare where big data analytics have been applied recently. The traditional methods of handling data are not suitable in healthcare and life-sciences applications, as the data in those fields are expected to grow exponentially in the forthcoming years. Healthcare industries and organizations should utilize the available infrastructures and methodologies to handle this enormous growing data to ensure the highest care of their patients. This technological overview discusses the employment of big data as an emerging stream in healthcare. It also delves into the business characteristics and optimized benefits of big data techniques within this field. The challenges and imminent predictions of big data in healthcare industries are also mentioned. This chapter reveals patient-centric lifetime evolution analytics using big data. The outpatient medical history along with the sensor data from devices connected to patient’s bodies are collected and processed using big data to instantly predict life-threatening medical conditions. Mobile networks are utilized. Big data is used to solve the problem of resource allocation for networks, thereby increasing the prediction likelihood of critical conditions of outpatients. © 2021 Elsevier Inc. All rights reserved.","Big data; Heuristic approach; Machine learning; Milp (mixed integer linear programming); Orthogonal frequency division multiple access; Signal-to-interference plus noise-ratio (SINR)","","Book chapter","Final","","Scopus","2-s2.0-85123670391"
